,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
22832,Pakistan,Wheat,2008,24514,494.0,4946.79,24.89
22833,Pakistan,Wheat,2008,24514,494.0,4946.79,26.33
22834,Pakistan,Wheat,2008,24514,494.0,4946.79,19.34
22835,Pakistan,Wheat,2008,24514,494.0,4946.79,23.21
22890,Pakistan,Wheat,2009,26568,494.0,3957.61,25.37
22891,Pakistan,Wheat,2009,26568,494.0,3957.61,23.62
22892,Pakistan,Wheat,2009,26568,494.0,3957.61,27.88
22893,Pakistan,Wheat,2009,26568,494.0,3957.61,23.62
22894,Pakistan,Wheat,2009,26568,494.0,3957.61,27.41
22895,Pakistan,Wheat,2009,26568,494.0,3957.61,25.37
22896,Pakistan,Wheat,2009,26568,494.0,3957.61,26.68
22897,Pakistan,Wheat,2009,26568,494.0,3957.61,19.3
22898,Pakistan,Wheat,2009,26568,494.0,3957.61,23.62
22953,Pakistan,Wheat,2010,25528,494.0,2968.44,25.48
22954,Pakistan,Wheat,2010,25528,494.0,2968.44,23.75
22955,Pakistan,Wheat,2010,25528,494.0,2968.44,28.0
22956,Pakistan,Wheat,2010,25528,494.0,2968.44,23.75
22957,Pakistan,Wheat,2010,25528,494.0,2968.44,27.45
22958,Pakistan,Wheat,2010,25528,494.0,2968.44,25.48
22959,Pakistan,Wheat,2010,25528,494.0,2968.44,26.79
22960,Pakistan,Wheat,2010,25528,494.0,2968.44,19.52
22961,Pakistan,Wheat,2010,25528,494.0,2968.44,23.75
23016,Pakistan,Wheat,2011,28328,494.0,1979.27,24.98
23017,Pakistan,Wheat,2011,28328,494.0,1979.27,23.36
23018,Pakistan,Wheat,2011,28328,494.0,1979.27,27.41
23019,Pakistan,Wheat,2011,28328,494.0,1979.27,23.36
23020,Pakistan,Wheat,2011,28328,494.0,1979.27,27.02
23021,Pakistan,Wheat,2011,28328,494.0,1979.27,24.98
23022,Pakistan,Wheat,2011,28328,494.0,1979.27,26.32
23023,Pakistan,Wheat,2011,28328,494.0,1979.27,19.53
23024,Pakistan,Wheat,2011,28328,494.0,1979.27,23.36
23079,Pakistan,Wheat,2012,27138,494.0,990.09,24.87
23080,Pakistan,Wheat,2012,27138,494.0,990.09,23.1
23081,Pakistan,Wheat,2012,27138,494.0,990.09,27.23
23082,Pakistan,Wheat,2012,27138,494.0,990.09,23.1
23083,Pakistan,Wheat,2012,27138,494.0,990.09,26.75
23084,Pakistan,Wheat,2012,27138,494.0,990.09,24.87
23085,Pakistan,Wheat,2012,27138,494.0,990.09,26.11
23086,Pakistan,Wheat,2012,27138,494.0,990.09,18.74
23087,Pakistan,Wheat,2012,27138,494.0,990.09,23.1
23142,Pakistan,Wheat,2013,27957,494.0,0.92,25.95
23143,Pakistan,Wheat,2013,27957,494.0,0.92,24.27
23144,Pakistan,Wheat,2013,27957,494.0,0.92,27.9
23145,Pakistan,Wheat,2013,27957,494.0,0.92,24.27
23146,Pakistan,Wheat,2013,27957,494.0,0.92,27.21
23147,Pakistan,Wheat,2013,27957,494.0,0.92,25.95
23148,Pakistan,Wheat,2013,27957,494.0,0.92,27.38
23149,Pakistan,Wheat,2013,27957,494.0,0.92,19.98
23150,Pakistan,Wheat,2013,27957,494.0,0.92,24.27
23320,Peru,Wheat,1990,10847,1738.0,3134.0,16.84
23329,Peru,Wheat,1991,8553,1738.0,3134.0,17.15
23338,Peru,Wheat,1992,13304,1738.0,3134.0,17.96
23347,Peru,Wheat,1993,14812,1738.0,3134.0,17.56
23356,Peru,Wheat,1994,12420,1738.0,3134.0,17.31
23365,Peru,Wheat,1995,12643,1738.0,3134.0,17.26
23374,Peru,Wheat,1996,12499,1738.0,3755.0,16.45
23383,Peru,Wheat,1997,11150,1738.0,4307.0,18.62
23392,Peru,Wheat,1998,11648,1738.0,4374.0,18.13
23401,Peru,Wheat,1999,12877,1738.0,4029.0,16.65
23410,Peru,Wheat,2000,12797,1738.0,5175.0,17.02
23419,Peru,Wheat,2001,12465,1738.0,8414.17,16.95
23428,Peru,Wheat,2002,13456,1738.0,8322.88,17.44
23437,Peru,Wheat,2004,13872,1738.0,8941.22,17.29
23446,Peru,Wheat,2005,13440,1738.0,10227.74,17.02
23455,Peru,Wheat,2006,13360,1738.0,12074.5,17.61
23464,Peru,Wheat,2007,12562,1738.0,9011.14,16.68
23473,Peru,Wheat,2008,13839,1738.0,12598.66,17.34
23482,Peru,Wheat,2009,14315,1738.0,11531.33,17.4
23491,Peru,Wheat,2010,14224,1738.0,15590.54,16.97
23500,Peru,Wheat,2011,14719,1738.0,15436.91,17.03
23509,Peru,Wheat,2012,14891,1738.0,18885.82,17.68
23518,Peru,Wheat,2013,14976,1738.0,17942.97,17.0
23521,Poland,Wheat,1990,39575,600.0,5422.0,9.2
23524,Poland,Wheat,1991,38032,600.0,5422.0,7.9
23527,Poland,Wheat,1992,30635,600.0,7363.0,8.65
23530,Poland,Wheat,1993,33279,600.0,8825.0,7.67
23533,Poland,Wheat,1994,31817,600.0,9330.0,8.78
23536,Poland,Wheat,1995,36015,600.0,7136.0,8.16
23539,Poland,Wheat,1996,34574,600.0,9824.0,6.71
23542,Poland,Wheat,1997,32064,600.0,9501.0,7.81
23545,Poland,Wheat,1998,36243,600.0,8699.0,8.17
23548,Poland,Wheat,1999,35042,600.0,8466.0,8.96
23551,Poland,Wheat,2000,32268,600.0,8848.0,9.56
23554,Poland,Wheat,2001,35336,600.0,8855.0,8.26
23557,Poland,Wheat,2002,38539,600.0,10358.0,9.14
23561,Poland,Wheat,2004,42811,600.0,8726.0,8.33
23565,Poland,Wheat,2005,39545,600.0,16039.0,8.43
23569,Poland,Wheat,2006,32447,600.0,17101.0,8.64
23573,Poland,Wheat,2007,39381,600.0,18721.0,9.32
23577,Poland,Wheat,2008,40716,600.0,20611.02,9.51
23581,Poland,Wheat,2009,41725,600.0,18493.03,8.5
23585,Poland,Wheat,2010,44290,600.0,19449.02,7.67
23589,Poland,Wheat,2011,41348,600.0,21779.27,8.84
23593,Poland,Wheat,2012,41438,600.0,21885.99,8.48
23596,Poland,Wheat,2013,44367,600.0,22204.46,9.32
23601,Portugal,Wheat,1990,14269,854.0,9357.0,16.55
23607,Portugal,Wheat,1991,20982,854.0,9357.0,16.09
23613,Portugal,Wheat,1992,12914,854.0,6117.0,15.95
23619,Portugal,Wheat,1993,16861,854.0,8985.0,15.33
23625,Portugal,Wheat,1994,19667,854.0,9580.0,16.12
23631,Portugal,Wheat,1995,13872,854.0,11815.0,17.23
23637,Portugal,Wheat,1996,17139,854.0,12457.0,16.12
23643,Portugal,Wheat,1997,11905,854.0,12750.0,17.1
23649,Portugal,Wheat,1998,10151,854.0,14389.0,16.4
23655,Portugal,Wheat,1999,15986,854.0,15411.0,16.09
23661,Portugal,Wheat,2000,15678,854.0,15470.0,16.23
23667,Portugal,Wheat,2001,8371,854.0,15503.0,16.2
23673,Portugal,Wheat,2002,17904,854.0,17452.0,16.19
23679,Portugal,Wheat,2004,15625,854.0,16942.0,16.31
23685,Portugal,Wheat,2005,6644,854.0,16353.0,16.43
23691,Portugal,Wheat,2006,23847,854.0,15702.0,16.84
23697,Portugal,Wheat,2007,18630,854.0,16682.39,16.11
23703,Portugal,Wheat,2008,23028,854.0,17080.26,16.12
23709,Portugal,Wheat,2009,17008,854.0,13984.91,16.84
23715,Portugal,Wheat,2010,14305,854.0,13774.18,16.5
23721,Portugal,Wheat,2011,12002,854.0,14024.98,16.91
23727,Portugal,Wheat,2012,10766,854.0,12444.24,16.24
23733,Portugal,Wheat,2013,17635,854.0,10126.8,16.77
23737,Qatar,Wheat,1990,22996,74.0,3.0,27.38
23740,Qatar,Wheat,1991,23048,74.0,3.0,26.77
23743,Qatar,Wheat,1992,23088,74.0,3.0,26.22
23746,Qatar,Wheat,1993,23103,74.0,3.0,27.1
23749,Qatar,Wheat,1994,23065,74.0,3.0,27.59
23752,Qatar,Wheat,1995,22969,74.0,4.0,27.16
23755,Qatar,Wheat,1996,22881,74.0,6.0,27.66
23758,Qatar,Wheat,1997,23077,74.0,21.5,27.23
23761,Qatar,Wheat,1998,22951,74.0,37.0,28.48
23764,Qatar,Wheat,1999,23056,74.0,52.5,28.62
23767,Qatar,Wheat,2000,23056,74.0,68.0,28.06
23770,Qatar,Wheat,2001,23333,74.0,68.0,28.36
23773,Qatar,Wheat,2002,22727,74.0,68.0,28.25
23776,Qatar,Wheat,2004,24444,74.0,68.0,28.2
23779,Qatar,Wheat,2005,23333,74.0,68.0,28.09
23782,Qatar,Wheat,2006,20000,74.0,68.0,28.12
23785,Qatar,Wheat,2007,23188,74.0,68.0,28.23
23788,Qatar,Wheat,2008,30000,74.0,68.0,27.92
23791,Qatar,Wheat,2009,23333,74.0,68.0,28.17
23794,Qatar,Wheat,2010,22500,74.0,68.0,28.93
23797,Qatar,Wheat,2011,23636,74.0,68.0,28.23
23800,Qatar,Wheat,2012,22857,74.0,68.0,28.54
23803,Qatar,Wheat,2013,22632,74.0,68.0,28.68
23809,Romania,Wheat,1990,32351,637.0,25255.0,12.26
23815,Romania,Wheat,1991,25406,637.0,19898.0,10.55
23821,Romania,Wheat,1992,21950,637.0,15134.0,11.55
23827,Romania,Wheat,1993,23291,637.0,24252.0,10.78
23833,Romania,Wheat,1994,25435,637.0,21811.0,12.7
23839,Romania,Wheat,1995,30903,637.0,20113.0,11.21
23845,Romania,Wheat,1996,17645,637.0,17425.0,10.71
23851,Romania,Wheat,1997,30103,637.0,15349.0,10.46
23857,Romania,Wheat,1998,25963,637.0,13979.0,11.37
23863,Romania,Wheat,1999,27993,637.0,11280.0,12.34
23869,Romania,Wheat,2000,22996,637.0,9427.4,12.44
23875,Romania,Wheat,2001,30449,637.0,7871.1,11.9
23881,Romania,Wheat,2002,20580,637.0,7875.7,12.24
23887,Romania,Wheat,2004,34775,637.0,6778.2,11.63
23893,Romania,Wheat,2005,29985,637.0,7565.7,11.25
23899,Romania,Wheat,2006,27737,637.0,6733.2,11.63
23905,Romania,Wheat,2007,16100,637.0,6314.0,12.99
23911,Romania,Wheat,2008,34222,637.0,7193.7,12.5
23917,Romania,Wheat,2009,24305,637.0,6548.7,12.47
23923,Romania,Wheat,2010,27000,637.0,7249.2,11.94
23929,Romania,Wheat,2011,36650,637.0,6582.9,11.26
23935,Romania,Wheat,2012,26593,637.0,6418.7,12.33
23941,Romania,Wheat,2013,34786,637.0,6947.9,13.94
23949,Rwanda,Wheat,1990,11811,1212.0,157.0,19.39
23958,Rwanda,Wheat,1991,12333,1212.0,107.0,19.22
23967,Rwanda,Wheat,1992,11455,1212.0,97.0,19.54
23976,Rwanda,Wheat,1993,12000,1212.0,127.4,19.53
23985,Rwanda,Wheat,1994,11852,1212.0,157.8,19.55
23994,Rwanda,Wheat,1995,10442,1212.0,188.2,19.81
24003,Rwanda,Wheat,1996,11357,1212.0,218.6,19.31
24012,Rwanda,Wheat,1997,9557,1212.0,249.0,19.78
24021,Rwanda,Wheat,1998,7263,1212.0,157.0,19.79
24030,Rwanda,Wheat,1999,6974,1212.0,152.0,19.35
24039,Rwanda,Wheat,2000,6416,1212.0,147.0,19.59
24048,Rwanda,Wheat,2001,7694,1212.0,72.0,19.5
24057,Rwanda,Wheat,2002,6171,1212.0,106.34,19.77
24066,Rwanda,Wheat,2004,7987,1212.0,159.54,19.93
24075,Rwanda,Wheat,2005,9083,1212.0,222.92,20.29
24084,Rwanda,Wheat,2006,8510,1212.0,288.72,20.02
24093,Rwanda,Wheat,2007,8948,1212.0,398.11,19.6
24102,Rwanda,Wheat,2008,12968,1212.0,321.75,19.56
24111,Rwanda,Wheat,2009,17079,1212.0,1187.6,19.84
24120,Rwanda,Wheat,2010,15631,1212.0,953.85,20.12
24129,Rwanda,Wheat,2011,20478,1212.0,181.6,19.59
24138,Rwanda,Wheat,2012,21680,1212.0,925.52,19.79
24147,Rwanda,Wheat,2013,19924,1212.0,1841.5,19.93
24155,Saudi Arabia,Wheat,1990,46461,59.0,994.0,25.86
24156,Saudi Arabia,Wheat,1990,46461,59.0,994.0,25.7
24163,Saudi Arabia,Wheat,1991,45030,59.0,994.0,25.94
24164,Saudi Arabia,Wheat,1991,45030,59.0,994.0,25.43
24171,Saudi Arabia,Wheat,1992,44609,59.0,994.0,24.74
24172,Saudi Arabia,Wheat,1992,44609,59.0,994.0,24.37
24179,Saudi Arabia,Wheat,1993,44886,59.0,994.0,25.9
24180,Saudi Arabia,Wheat,1993,44886,59.0,994.0,25.42
24187,Saudi Arabia,Wheat,1994,45503,59.0,994.0,26.26
24188,Saudi Arabia,Wheat,1994,45503,59.0,994.0,26.08
24195,Saudi Arabia,Wheat,1995,44720,59.0,994.0,26.33
24196,Saudi Arabia,Wheat,1995,44720,59.0,994.0,25.64
24203,Saudi Arabia,Wheat,1996,43821,59.0,994.0,26.37
24204,Saudi Arabia,Wheat,1996,43821,59.0,994.0,26.28
24211,Saudi Arabia,Wheat,1997,44497,59.0,2513.0,25.88
24212,Saudi Arabia,Wheat,1997,44497,59.0,2513.0,25.49
24219,Saudi Arabia,Wheat,1998,44999,59.0,2683.37,26.48
24220,Saudi Arabia,Wheat,1998,44999,59.0,2683.37,26.73
24227,Saudi Arabia,Wheat,1999,42526,59.0,2853.74,26.75
24228,Saudi Arabia,Wheat,1999,42526,59.0,2853.74,26.92
24235,Saudi Arabia,Wheat,2000,42640,59.0,3024.11,26.62
24236,Saudi Arabia,Wheat,2000,42640,59.0,3024.11,26.55
24243,Saudi Arabia,Wheat,2001,49081,59.0,3194.48,26.6
24244,Saudi Arabia,Wheat,2001,49081,59.0,3194.48,26.67
24251,Saudi Arabia,Wheat,2002,48875,59.0,3364.86,26.63
24252,Saudi Arabia,Wheat,2002,48875,59.0,3364.86,26.44
24259,Saudi Arabia,Wheat,2004,53066,59.0,3705.6,26.53
24260,Saudi Arabia,Wheat,2004,53066,59.0,3705.6,26.2
24267,Saudi Arabia,Wheat,2005,54175,59.0,3875.97,26.47
24268,Saudi Arabia,Wheat,2005,54175,59.0,3875.97,26.27
24275,Saudi Arabia,Wheat,2006,56172,59.0,4046.34,26.42
24276,Saudi Arabia,Wheat,2006,56172,59.0,4046.34,26.24
24283,Saudi Arabia,Wheat,2007,56844,59.0,4216.71,26.58
24284,Saudi Arabia,Wheat,2007,56844,59.0,4216.71,26.49
24291,Saudi Arabia,Wheat,2008,60877,59.0,4372.61,26.64
24292,Saudi Arabia,Wheat,2008,60877,59.0,4372.61,26.21
24299,Saudi Arabia,Wheat,2009,58833,59.0,4528.51,26.9
24300,Saudi Arabia,Wheat,2009,58833,59.0,4528.51,26.71
24307,Saudi Arabia,Wheat,2010,61474,59.0,4684.4,27.3
24308,Saudi Arabia,Wheat,2010,61474,59.0,4684.4,27.37
24315,Saudi Arabia,Wheat,2011,61429,59.0,4840.3,26.57
24316,Saudi Arabia,Wheat,2011,61429,59.0,4840.3,26.4
24323,Saudi Arabia,Wheat,2012,59254,59.0,4996.2,27.02
24324,Saudi Arabia,Wheat,2012,59254,59.0,4996.2,26.83
24331,Saudi Arabia,Wheat,2013,64333,59.0,5412.5,27.57
24332,Saudi Arabia,Wheat,2013,64333,59.0,5412.5,27.78
24474,Slovenia,Wheat,1992,41937,1162.0,1309.0,10.78
24478,Slovenia,Wheat,1993,38430,1162.0,1112.0,10.19
24482,Slovenia,Wheat,1994,43300,1162.0,944.0,11.33
24486,Slovenia,Wheat,1995,42300,1162.0,987.0,10.14
24490,Slovenia,Wheat,1996,39000,1162.0,953.0,9.24
24494,Slovenia,Wheat,1997,41557,1162.0,1245.0,10.18
24498,Slovenia,Wheat,1998,48279,1162.0,1091.0,10.42
24502,Slovenia,Wheat,1999,37087,1162.0,1133.0,10.51
24506,Slovenia,Wheat,2000,42492,1162.0,1468.0,11.45
24510,Slovenia,Wheat,2001,46036,1162.0,1387.0,10.74
24514,Slovenia,Wheat,2002,48943,1162.0,1164.1,11.18
24518,Slovenia,Wheat,2004,45339,1162.0,1557.98,10.06
24522,Slovenia,Wheat,2005,47005,1162.0,1383.88,9.62
24526,Slovenia,Wheat,2006,41907,1162.0,1280.98,10.56
24530,Slovenia,Wheat,2007,41616,1162.0,1155.23,11.31
24534,Slovenia,Wheat,2008,45265,1162.0,1218.15,11.09
24538,Slovenia,Wheat,2009,39643,1162.0,1162.87,11.06
24542,Slovenia,Wheat,2010,48044,1162.0,1134.37,10.0
24546,Slovenia,Wheat,2011,51770,1162.0,1121.91,11.02
24550,Slovenia,Wheat,2012,54376,1162.0,1016.08,11.12
24554,Slovenia,Wheat,2013,43528,1162.0,917.49,11.58
24579,South Africa,Wheat,1990,10934,495.0,16582.0,20.56
24580,South Africa,Wheat,1990,10934,495.0,16582.0,15.56
24581,South Africa,Wheat,1990,10934,495.0,16582.0,18.91
24582,South Africa,Wheat,1990,10934,495.0,16582.0,15.56
24607,South Africa,Wheat,1991,14916,495.0,16582.0,21.06
24608,South Africa,Wheat,1991,14916,495.0,16582.0,15.56
24609,South Africa,Wheat,1991,14916,495.0,16582.0,18.86
24610,South Africa,Wheat,1991,14916,495.0,16582.0,15.56
24635,South Africa,Wheat,1992,17653,495.0,16582.0,21.53
24636,South Africa,Wheat,1992,17653,495.0,16582.0,16.48
24637,South Africa,Wheat,1992,17653,495.0,16582.0,19.95
24638,South Africa,Wheat,1992,17653,495.0,16582.0,16.48
24663,South Africa,Wheat,1993,18454,495.0,16582.0,21.32
24664,South Africa,Wheat,1993,18454,495.0,16582.0,16.01
24665,South Africa,Wheat,1993,18454,495.0,16582.0,19.32
24666,South Africa,Wheat,1993,18454,495.0,16582.0,16.01
24691,South Africa,Wheat,1994,17561,495.0,16582.0,20.65
24692,South Africa,Wheat,1994,17561,495.0,16582.0,15.1
24693,South Africa,Wheat,1994,17561,495.0,16582.0,18.48
24694,South Africa,Wheat,1994,17561,495.0,16582.0,15.1
24719,South Africa,Wheat,1995,14507,495.0,18025.0,20.73
24720,South Africa,Wheat,1995,14507,495.0,18025.0,15.77
24721,South Africa,Wheat,1995,14507,495.0,18025.0,19.23
24722,South Africa,Wheat,1995,14507,495.0,18025.0,15.77
24747,South Africa,Wheat,1996,20961,495.0,19508.0,20.49
24748,South Africa,Wheat,1996,20961,495.0,19508.0,15.23
24749,South Africa,Wheat,1996,20961,495.0,19508.0,18.49
24750,South Africa,Wheat,1996,20961,495.0,19508.0,15.23
24775,South Africa,Wheat,1997,17575,495.0,21596.0,20.57
24776,South Africa,Wheat,1997,17575,495.0,21596.0,15.38
24777,South Africa,Wheat,1997,17575,495.0,21596.0,18.64
24778,South Africa,Wheat,1997,17575,495.0,21596.0,15.38
24803,South Africa,Wheat,1998,25295,495.0,24304.0,21.22
24804,South Africa,Wheat,1998,25295,495.0,24304.0,16.11
24805,South Africa,Wheat,1998,25295,495.0,24304.0,19.42
24806,South Africa,Wheat,1998,25295,495.0,24304.0,16.11
24831,South Africa,Wheat,1999,24137,495.0,26098.8,21.64
24832,South Africa,Wheat,1999,24137,495.0,26098.8,16.09
24833,South Africa,Wheat,1999,24137,495.0,26098.8,19.27
24834,South Africa,Wheat,1999,24137,495.0,26098.8,16.09
24859,South Africa,Wheat,2000,25997,495.0,26857.0,20.74
24860,South Africa,Wheat,2000,25997,495.0,26857.0,15.13
24861,South Africa,Wheat,2000,25997,495.0,26857.0,18.26
24862,South Africa,Wheat,2000,25997,495.0,26857.0,15.13
24887,South Africa,Wheat,2001,25708,495.0,26857.0,21.25
24888,South Africa,Wheat,2001,25708,495.0,26857.0,15.68
24889,South Africa,Wheat,2001,25708,495.0,26857.0,18.92
24890,South Africa,Wheat,2001,25708,495.0,26857.0,15.68
24915,South Africa,Wheat,2002,25906,495.0,26857.0,21.07
24916,South Africa,Wheat,2002,25906,495.0,26857.0,15.88
24917,South Africa,Wheat,2002,25906,495.0,26857.0,19.28
24918,South Africa,Wheat,2002,25906,495.0,26857.0,15.88
24943,South Africa,Wheat,2004,20325,495.0,26857.0,21.11
24944,South Africa,Wheat,2004,20325,495.0,26857.0,15.49
24945,South Africa,Wheat,2004,20325,495.0,26857.0,18.75
24946,South Africa,Wheat,2004,20325,495.0,26857.0,15.49
24971,South Africa,Wheat,2005,23665,495.0,26857.0,21.14
24972,South Africa,Wheat,2005,23665,495.0,26857.0,16.29
24973,South Africa,Wheat,2005,23665,495.0,26857.0,19.74
24974,South Africa,Wheat,2005,23665,495.0,26857.0,16.29
24999,South Africa,Wheat,2006,27516,495.0,26857.0,20.86
25000,South Africa,Wheat,2006,27516,495.0,26857.0,15.26
25001,South Africa,Wheat,2006,27516,495.0,26857.0,18.42
25002,South Africa,Wheat,2006,27516,495.0,26857.0,15.26
25027,South Africa,Wheat,2007,30142,495.0,26857.0,21.07
25028,South Africa,Wheat,2007,30142,495.0,26857.0,15.9
25029,South Africa,Wheat,2007,30142,495.0,26857.0,18.98
25030,South Africa,Wheat,2007,30142,495.0,26857.0,15.9
25055,South Africa,Wheat,2008,28476,495.0,26857.0,20.89
25056,South Africa,Wheat,2008,28476,495.0,26857.0,15.75
25057,South Africa,Wheat,2008,28476,495.0,26857.0,18.91
25058,South Africa,Wheat,2008,28476,495.0,26857.0,15.75
25083,South Africa,Wheat,2009,30475,495.0,26857.0,20.71
25084,South Africa,Wheat,2009,30475,495.0,26857.0,15.44
25085,South Africa,Wheat,2009,30475,495.0,26857.0,18.67
25086,South Africa,Wheat,2009,30475,495.0,26857.0,15.44
25111,South Africa,Wheat,2010,25623,495.0,26857.0,21.54
25112,South Africa,Wheat,2010,25623,495.0,26857.0,16.11
25113,South Africa,Wheat,2010,25623,495.0,26857.0,19.31
25114,South Africa,Wheat,2010,25623,495.0,26857.0,16.11
25139,South Africa,Wheat,2011,33157,495.0,26857.0,20.72
25140,South Africa,Wheat,2011,33157,495.0,26857.0,15.49
25141,South Africa,Wheat,2011,33157,495.0,26857.0,18.75
25142,South Africa,Wheat,2011,33157,495.0,26857.0,15.49
25167,South Africa,Wheat,2012,37476,495.0,26857.0,21.24
25168,South Africa,Wheat,2012,37476,495.0,26857.0,15.89
25169,South Africa,Wheat,2012,37476,495.0,26857.0,19.14
25170,South Africa,Wheat,2012,37476,495.0,26857.0,15.89
25195,South Africa,Wheat,2013,36993,495.0,26857.0,21.31
25196,South Africa,Wheat,2013,36993,495.0,26857.0,14.98
25197,South Africa,Wheat,2013,36993,495.0,26857.0,18.0
25198,South Africa,Wheat,2013,36993,495.0,26857.0,14.98
25217,Spain,Wheat,1990,23789,636.0,39562.0,17.3
25218,Spain,Wheat,1990,23789,636.0,39562.0,12.68
25219,Spain,Wheat,1990,23789,636.0,39562.0,17.36
25238,Spain,Wheat,1991,24592,636.0,39147.0,16.37
25239,Spain,Wheat,1991,24592,636.0,39147.0,11.92
25240,Spain,Wheat,1991,24592,636.0,39147.0,16.58
25259,Spain,Wheat,1992,19426,636.0,31839.0,16.35
25260,Spain,Wheat,1992,19426,636.0,31839.0,11.89
25261,Spain,Wheat,1992,19426,636.0,31839.0,16.65
25280,Spain,Wheat,1993,24492,636.0,29408.0,16.28
25281,Spain,Wheat,1993,24492,636.0,29408.0,11.12
25282,Spain,Wheat,1993,24492,636.0,29408.0,16.4
25301,Spain,Wheat,1994,21843,636.0,31244.0,17.51
25302,Spain,Wheat,1994,21843,636.0,31244.0,12.45
25303,Spain,Wheat,1994,21843,636.0,31244.0,17.67
25322,Spain,Wheat,1995,14761,636.0,27852.0,17.33
25323,Spain,Wheat,1995,14761,636.0,27852.0,12.99
25324,Spain,Wheat,1995,14761,636.0,27852.0,17.66
25343,Spain,Wheat,1996,30016,636.0,33236.0,16.72
25344,Spain,Wheat,1996,30016,636.0,33236.0,11.96
25345,Spain,Wheat,1996,30016,636.0,33236.0,17.01
25364,Spain,Wheat,1997,22498,636.0,34023.0,17.66
25365,Spain,Wheat,1997,22498,636.0,34023.0,13.02
25366,Spain,Wheat,1997,22498,636.0,34023.0,17.81
25385,Spain,Wheat,1998,28424,636.0,35070.0,17.15
25386,Spain,Wheat,1998,28424,636.0,35070.0,12.4
25387,Spain,Wheat,1998,28424,636.0,35070.0,17.46
25406,Spain,Wheat,1999,20987,636.0,33614.0,17.14
25407,Spain,Wheat,1999,20987,636.0,33614.0,12.09
25408,Spain,Wheat,1999,20987,636.0,33614.0,17.43
25427,Spain,Wheat,2000,30997,636.0,34597.0,17.15
25428,Spain,Wheat,2000,30997,636.0,34597.0,12.2
25429,Spain,Wheat,2000,30997,636.0,34597.0,17.47
25448,Spain,Wheat,2001,23003,636.0,35700.0,17.27
25449,Spain,Wheat,2001,23003,636.0,35700.0,12.33
25450,Spain,Wheat,2001,23003,636.0,35700.0,17.84
25469,Spain,Wheat,2002,28347,636.0,40727.0,17.16
25470,Spain,Wheat,2002,28347,636.0,40727.0,12.52
25471,Spain,Wheat,2002,28347,636.0,40727.0,17.51
25490,Spain,Wheat,2004,32628,636.0,47445.0,17.12
25491,Spain,Wheat,2004,32628,636.0,47445.0,12.17
25492,Spain,Wheat,2004,32628,636.0,47445.0,17.41
25511,Spain,Wheat,2005,17707,636.0,41017.0,16.69
25512,Spain,Wheat,2005,17707,636.0,41017.0,12.26
25513,Spain,Wheat,2005,17707,636.0,41017.0,16.97
25532,Spain,Wheat,2006,28755,636.0,39767.0,17.81
25533,Spain,Wheat,2006,28755,636.0,39767.0,13.06
25534,Spain,Wheat,2006,28755,636.0,39767.0,17.97
25553,Spain,Wheat,2007,35692,636.0,39286.0,17.24
25554,Spain,Wheat,2007,35692,636.0,39286.0,11.89
25555,Spain,Wheat,2007,35692,636.0,39286.0,17.41
25574,Spain,Wheat,2008,32483,636.0,40719.0,16.92
25575,Spain,Wheat,2008,32483,636.0,40719.0,11.92
25576,Spain,Wheat,2008,32483,636.0,40719.0,17.21
25595,Spain,Wheat,2009,27103,636.0,35199.0,17.45
25596,Spain,Wheat,2009,27103,636.0,35199.0,12.96
25597,Spain,Wheat,2009,27103,636.0,35199.0,17.61
25616,Spain,Wheat,2010,30498,636.0,39043.0,16.51
25617,Spain,Wheat,2010,30498,636.0,39043.0,12.01
25618,Spain,Wheat,2010,30498,636.0,39043.0,16.83
25637,Spain,Wheat,2011,34475,636.0,53549.0,17.9
25638,Spain,Wheat,2011,34475,636.0,53549.0,13.28
25639,Spain,Wheat,2011,34475,636.0,53549.0,17.98
25658,Spain,Wheat,2012,23718,636.0,48668.0,17.51
25659,Spain,Wheat,2012,23718,636.0,48668.0,12.33
25660,Spain,Wheat,2012,23718,636.0,48668.0,17.65
25679,Spain,Wheat,2013,36447,636.0,54197.0,17.0
25680,Spain,Wheat,2013,36447,636.0,54197.0,12.68
25681,Spain,Wheat,2013,36447,636.0,54197.0,17.46
25876,Sudan,Wheat,2012,17297,1712.0,2469.47,26.42
25877,Sudan,Wheat,2012,17297,1712.0,2469.47,29.96
25890,Sudan,Wheat,2013,19534,1712.0,2469.47,26.84
25891,Sudan,Wheat,2013,19534,1712.0,2469.47,30.65
26033,Sweden,Wheat,1990,64494,624.0,2310.0,8.43
26035,Sweden,Wheat,1991,58591,624.0,1841.0,7.49
26037,Sweden,Wheat,1992,53249,624.0,1497.0,7.94
26039,Sweden,Wheat,1993,58993,624.0,1466.0,6.98
26041,Sweden,Wheat,1994,53403,624.0,1962.0,7.23
26043,Sweden,Wheat,1995,59441,624.0,1225.0,7.17
26045,Sweden,Wheat,1996,60597,624.0,1529.0,6.15
26047,Sweden,Wheat,1997,59742,624.0,1534.0,7.66
26049,Sweden,Wheat,1998,56494,624.0,1555.0,6.89
26051,Sweden,Wheat,1999,60236,624.0,1602.0,8.02
26053,Sweden,Wheat,2000,59066,624.0,1721.0,8.42
26055,Sweden,Wheat,2001,59412,624.0,1789.0,7.48
